"lugar_accidente","numero","Accidentes","lon","lat","lugar"
"AVENIDA DE LOS POBLADOS - AVENIDA DE LA PRINCESA JUANA DE AUSTRIA",0,42,-3.71934,40.37465,"Avenida De Los Poblados - Avenida De La Princesa Juana De Austria"
"PARQUE DEL RETIRO",0,25,-3.6844995,40.4152606,"Parque Del Retiro"
"PARQUE DE JUAN CARLOS I NUM",1,19,-3.6050151,40.4609216,"Parque De Juan Carlos I "
"PASEO DE LOS CASTAÑOS",0,16,-3.855997,40.4020171,"Paseo De Los Castaños"
"PASEO DEL EMBARCADERO NUM",1,15,-3.7254401,40.4184983,"Paseo Del Embarcadero "
"PARQUE DE LA CASA DE CAMPO",0,14,-3.7488366,40.4197419,"Parque De La Casa De Campo"
"PASEO DEL PIÑONERO NUM",1,14,-3.7357107,40.428034,"Paseo Del Piñonero "
"AVENIDA DE LOS POBLADOS - AVENIDA DEL EURO",0,13,-3.7387161,40.3738383,"Avenida De Los Poblados - Avenida Del Euro"
"CARRETERA DE LA CIUDAD UNIVERSITARIA KM.",1,13,-3.750592,40.464051,"Carretera De La Ciudad Universitaria Km."
"PASEO DEL FERNAN NUÑEZ",0,13,-3.6800993,40.4162726,"Paseo Del Fernan Nuñez"
"CALLE DE SANTA SUSANA NUM",55,11,-3.6479874,40.4803555,"Calle De Santa Susana "
"CALLE DE ALCALA - CALLE DEL MARQUES DE CASA RIERA",0,10,-3.6964328,40.4186962,"Calle De Alcala - Calle Del Marques De Casa Riera"
"AVENIDA DE MIGUEL HERNANDEZ NUM",48,9,-3.6350623,40.3884953,"Avenida De Miguel Hernandez "
"CALLE  GRAN VIA - CALLE DE SAN BERNARDO",0,9,-3.7078966,40.4215151,"Calle  Gran Via - Calle De San Bernardo"
"CARRETERA DE RODAJOS",0,9,-3.7845075,40.4133481,"Carretera De Rodajos"
"CARRETERA DEL ZARZON NUM",6,9,-3.7645045,40.4074312,"Carretera Del Zarzon "
"CARRETERA DE PARDO A FUENCARRAL KM.",3500,8,-3.7253409,40.5147787,"Carretera De Pardo A Fuencarral Km."
"GLORIETA DE LOS PATINES",0,8,-3.734887,40.4176295,"Glorieta De Los Patines"
"AVENIDA DE LOS POBLADOS - CALLE  VIA LUSITANA",0,7,-3.7327,40.37371,"Avenida De Los Poblados - Calle  Via Lusitana"
"CALLE  VIA LUSITANA NUM",1,7,-3.7205634,40.3832697,"Calle  Via Lusitana "
"CALLE DE ALCALA NUM",44,7,-3.6959576,40.418353,"Calle De Alcala "
"CALLE DEL ALCALDE SAINZ DE BARANDA NUM",92,7,-3.6618486,40.4203936,"Calle Del Alcalde Sainz De Baranda "
"PARQUE DE LAS CRUCES",0,7,-3.7589181,40.377719,"Parque De Las Cruces"
"PARQUE DEL RETIRO - PASEO DEL FERNAN NUÑEZ",0,7,-3.6802234,40.4105042,"Parque Del Retiro - Paseo Del Fernan Nuñez"
"PASEO DE RUPERTO CHAPI",0,7,-3.7234957,40.4343928,"Paseo De Ruperto Chapi"
